Q98SV1	2
Q9NSI6	20
Q6P995	10
Q96KR4	1
Q9H4B8	80
Q9CQE7	4
F6VAN0	10
O94907	198
B4E3H8	10
P47133	2
P48042	2
Q9SYQ8	1
A0A087WU87	52
Q3KR37	12
P81274	1
O94956	10
Q8WU79	10
Q6JSD6	10
Q8GW19	6
Q7Z449	12
P29459	12
B1H234	6
Q02738	4
O94823	20
D4ANV2	14
Q5SRI9	274
P24071	20
P49327	50
Q8IWW6	10
O60566	20
P47862	2
Q685J3	4124
P46940	16
D4B1S6	4
Q99MS4	4
O42909	2
P82979	10
Q96M78	10
Q8NFM7	28
Q9UPQ0	10
O76902	2
P06239	8
A0A0G2JXT6	6
P49796	6
O14745	98
Q8N6Y2	192
Q05940	20
P23276	10
Q16531	60
Q5A6U1	4
Q9BVV6	10
P11047	856
Q9Y6Z7	78
Q9HGL1	22
Q9NYU1	32
P05120	20
Q8WWQ0	10
Q07950	2
Q15198	10
Q8ND56	10
Q8WZJ4	6
P41542	6
Q08211	30
O94985	334
P08575	676
Q13098	10
D4AMB9	26
Q08986	10
Q9R1N9	2
Q9D2N4	1
Q6UVW9	8
Q18685	2
Q9Y6I7	1
Q04969	2
Q9BVA6	154
Q5TCZ1	1
Q9ESF1	20
Q8NFU1	10
Q9NZ43	10
Q6UWY2	102
Q86YW5	104
P18169	6
Q7KZF4	30
P48608	2
P29279	10
Q6Z2T3	2
Q498T9	12
Q9Y485	1
Q86YB8	12
Q965M2	10
Q9NZ08	344
Q8WWG9	10
Q13325	2
P06127	196
P10635	12
Q03721	10
Q8R526	26
Q9Y2G0	2
Q96MU7	10
Q68DA7	10
Q9Y227-2	2
Q9NRG9	10
E4NKF8	8
P13686	20
Q96G91	10
Q99574	40
Q8IVF6	10
P21333	100
Q5XTS1	10
Q99583	158
Q14558	10
O43529	1
Q99KV1	2
Q9NYP7	2
Q8TEM1	742
Q96C19	10
O64740	6
O89026	16
Q8IWV7	20
Q92581	20
Q9HAW7	20
P03905	10
Q5M7Z0	16
Q9Y3C6	10
P16455	10
Q9BRS8	10
Q6P5W5	2
Q8RX86	1
Q9H222	6
Q9ZSY2	6
Q9H9S0	10
Q99943	2
P10966	10
Q9HC29	2
P22700	12
Q8R361	6
Q8NCF5	146
O88563	12
Q8NAM6	10
Q6FV98	4
P12111	1752
P35368	4
P30048	1
O49545	20
Q01083	2
Q96KB5	10
Q9NAS9	12
P16930	10
Q8N145	10
A8K3Y6	10
D3ZB51	14
P53618	20
Q9UBL3	40
P30543	4
Q5T447	1
Q11203	120
O96019	10
Q62101	12
P16989	10
P19136	6
X5D7A8	174
Q00796	20
P07910	10
P05549	10
B1APH4	10
